Country,Year,Gross demand,Gross production,Final consumption
Bolivia (Plur. State of),2005,4834.0,4913.0,4182.0
Bolivia (Plur. State of),2004,4463.0,4559.2,3877.0
Bolivia (Plur. State of),2003,4270.0,4391.0,3694.0
Bolivia (Plur. State of),2002,4113.0,4185.0,3622.0
Bolivia (Plur. State of),2001,3918.0,3981.0,3470.0
Bolivia (Plur. State of),2000,3815.0,3880.0,3472.0
Bolivia (Plur. State of),1999,3865.0,3881.0,3422.0
Bolivia (Plur. State of),1998,3695.0,3710.0,3251.0
Bolivia (Plur. State of),1997,3457.0,3472.0,3054.0
Bolivia (Plur. State of),1996,3210.0,3279.0,2839.0
Bolivia (Plur. State of),1995,2993.0,3061.0,2644.0
Bolivia (Plur. State of),1994,2806.0,2873.0,2451.0
Bolivia (Plur. State of),1993,2636.0,2707.0,2258.0
Bolivia (Plur. State of),1992,2393.0,2465.0,2046.0
Bolivia (Plur. State of),1991,2256.0,2400.0,1938.0
Bolivia (Plur. State of),1990,2392.0,2411.0,1799.0
Bosnia and Herzegovina,2021,12481.0,18536.0,10830.0
Bosnia and Herzegovina,2020,11470.0,16874.0,9936.0
Bosnia and Herzegovina,2019,12558.0,17493.0,10993.0
Bosnia and Herzegovina,2018,13169.0,19160.0,11456.0
Bosnia and Herzegovina,2017,13132.0,16439.0,11398.0
Bosnia and Herzegovina,2016,12852.0,17767.0,11088.0
Bosnia and Herzegovina,2015,12509.0,15629.0,10675.0
Bosnia and Herzegovina,2014,12336.0,16160.0,10587.0
Bosnia and Herzegovina,2013,12758.0,17451.0,10933.0
Bosnia and Herzegovina,2012,12991.0,14082.0,11097.0
Bosnia and Herzegovina,2011,12738.0,15280.0,10788.0
Bosnia and Herzegovina,2010,12329.0,17124.0,10347.0
Bosnia and Herzegovina,2009,11711.0,15668.0,9463.0
Bosnia and Herzegovina,2008,12210.0,14823.0,9984.0
Bosnia and Herzegovina,2007,9858.0,11784.0,7754.0
Bosnia and Herzegovina,2006,9704.0,13309.0,7767.0
Bosnia and Herzegovina,2005,9836.0,12602.0,7734.0
Bosnia and Herzegovina,2004,9410.0,12728.0,7394.0
Bosnia and Herzegovina,2003,9118.0,11266.0,7209.0
Bosnia and Herzegovina,2002,8508.0,10785.0,6788.0
Bosnia and Herzegovina,2001,8132.0,10638.0,6340.0
Bosnia and Herzegovina,2000,7609.0,10429.0,5860.0
Bosnia and Herzegovina,1999,7010.0,10154.0,5433.0
Bosnia and Herzegovina,1998,7268.0,9077.0,5746.0
